Date,Survey_ID,Climate_Level,Treatment,Block,Plot_ID,Temp
7/15/18,1,Arid,Open,1,ARO1,51.705
7/19/18,2,Arid,Open,1,ARO1,50.61033
7/22/18,3,Arid,Open,1,ARO1,47.75913
7/29/18,4,Arid,Open,1,ARO1,44.24973
7/31/18,5,Arid,Open,1,ARO1,45.4712
8/6/18,6,Arid,Open,1,ARO1,48.51106
8/9/18,7,Arid,Open,1,ARO1,43.58246
8/12/18,8,Arid,Open,1,ARO1,44.16153
8/19/18,9,Arid,Open,1,ARO1,45.81813
8/22/18,10,Arid,Open,1,ARO1,46.03253
8/26/18,11,Arid,Open,1,ARO1,42.95866
9/1/18,12,Arid,Open,1,ARO1,44.05573
9/3/18,13,Arid,Open,1,ARO1,43.89573
9/11/18,14,Arid,Open,1,ARO1,43.9458
9/16/18,15,Arid,Open,1,ARO1,43.69946
9/21/18,16,Arid,Open,1,ARO1,42.69826
9/25/18,17,Arid,Open,1,ARO1,37.68106
9/29/18,18,Arid,Open,1,ARO1,33.01073
10/4/18,19,Arid,Open,1,ARO1,34.8948
10/7/18,20,Arid,Open,1,ARO1,39.9884
10/18/18,21,Arid,Open,1,ARO1,35.31313
10/21/18,22,Arid,Open,1,ARO1,29.7312
10/23/18,23,Arid,Open,1,ARO1,28.5314
11/3/18,24,Arid,Open,1,ARO1,27.11761
7/15/18,1,Arid,Open,2,ARO2,52.89273
7/19/18,2,Arid,Open,2,ARO2,51.84573
7/22/18,3,Arid,Open,2,ARO2,48.91926
7/29/18,4,Arid,Open,2,ARO2,46.245
7/31/18,5,Arid,Open,2,ARO2,48.12986
8/6/18,6,Arid,Open,2,ARO2,50.462
8/9/18,7,Arid,Open,2,ARO2,45.6772
8/12/18,8,Arid,Open,2,ARO2,46.95926
8/19/18,9,Arid,Open,2,ARO2,49.27613
8/22/18,10,Arid,Open,2,ARO2,48.9724
8/26/18,11,Arid,Open,2,ARO2,46.4526
9/1/18,12,Arid,Open,2,ARO2,47.69186
9/3/18,13,Arid,Open,2,ARO2,48.10866
9/11/18,14,Arid,Open,2,ARO2,47.83386
9/16/18,15,Arid,Open,2,ARO2,47.73053
9/21/18,16,Arid,Open,2,ARO2,46.38053
9/25/18,17,Arid,Open,2,ARO2,42.345
9/29/18,18,Arid,Open,2,ARO2,37.38533
10/4/18,19,Arid,Open,2,ARO2,40.1248
10/7/18,20,Arid,Open,2,ARO2,44.67793
10/18/18,21,Arid,Open,2,ARO2,40.62193
10/21/18,22,Arid,Open,2,ARO2,35.5584
10/23/18,23,Arid,Open,2,ARO2,35.23966
11/3/18,24,Arid,Open,2,ARO2,33.11338
7/15/18,1,Arid,Open,3,ARO3,53.54653
7/19/18,2,Arid,Open,3,ARO3,52.17893
7/22/18,3,Arid,Open,3,ARO3,48.41
7/29/18,4,Arid,Open,3,ARO3,43.78093
7/31/18,5,Arid,Open,3,ARO3,45.4274
8/6/18,6,Arid,Open,3,ARO3,48.23733
8/9/18,7,Arid,Open,3,ARO3,43.87433
8/12/18,8,Arid,Open,3,ARO3,45.29873
8/19/18,9,Arid,Open,3,ARO3,47.68953
8/22/18,10,Arid,Open,3,ARO3,47.43006
8/26/18,11,Arid,Open,3,ARO3,44.96506
9/1/18,12,Arid,Open,3,ARO3,46.48126
9/3/18,13,Arid,Open,3,ARO3,46.9344
9/11/18,14,Arid,Open,3,ARO3,46.77353
9/16/18,15,Arid,Open,3,ARO3,47.72573
9/21/18,16,Arid,Open,3,ARO3,46.72273
9/25/18,17,Arid,Open,3,ARO3,42.8092
9/29/18,18,Arid,Open,3,ARO3,37.488
10/4/18,19,Arid,Open,3,ARO3,40.75813
10/7/18,20,Arid,Open,3,ARO3,45.38946
10/18/18,21,Arid,Open,3,ARO3,41.3094
10/21/18,22,Arid,Open,3,ARO3,35.92513
10/23/18,23,Arid,Open,3,ARO3,34.60913
11/3/18,24,Arid,Open,3,ARO3,32.6004
7/15/18,1,Intermediate,Open,1,INO1,44.05126
7/19/18,2,Intermediate,Open,1,INO1,50.15146
7/22/18,3,Intermediate,Open,1,INO1,47.09766
7/29/18,4,Intermediate,Open,1,INO1,45.86193
7/31/18,5,Intermediate,Open,1,INO1,49.45853
8/6/18,6,Intermediate,Open,1,INO1,48.08246
8/9/18,7,Intermediate,Open,1,INO1,48.51406
8/12/18,8,Intermediate,Open,1,INO1,50.7554
8/19/18,9,Intermediate,Open,1,INO1,50.59493
8/22/18,10,Intermediate,Open,1,INO1,46.20473
8/26/18,11,Intermediate,Open,1,INO1,46.04173
9/1/18,12,Intermediate,Open,1,INO1,47.5844
9/3/18,13,Intermediate,Open,1,INO1,45.44146
9/11/18,14,Intermediate,Open,1,INO1,40.96613
9/16/18,15,Intermediate,Open,1,INO1,43.107
9/21/18,16,Intermediate,Open,1,INO1,43.49733
9/25/18,17,Intermediate,Open,1,INO1,41.99213
9/29/18,18,Intermediate,Open,1,INO1,40.07093
10/4/18,19,Intermediate,Open,1,INO1,42.34453
10/7/18,20,Intermediate,Open,1,INO1,34.48646
10/18/18,21,Intermediate,Open,1,INO1,32.416
10/21/18,22,Intermediate,Open,1,INO1,34.81026
10/23/18,23,Intermediate,Open,1,INO1,25.74413
11/3/18,24,Intermediate,Open,1,INO1,19.8368
7/15/18,1,Intermediate,Open,2,INO2,43.5752
7/19/18,2,Intermediate,Open,2,INO2,48.28926
7/22/18,3,Intermediate,Open,2,INO2,46.20193
7/29/18,4,Intermediate,Open,2,INO2,45.56526
7/31/18,5,Intermediate,Open,2,INO2,50.53913
8/6/18,6,Intermediate,Open,2,INO2,49.9146
8/9/18,7,Intermediate,Open,2,INO2,50.19846
8/12/18,8,Intermediate,Open,2,INO2,52.4242
8/19/18,9,Intermediate,Open,2,INO2,51.7572
8/22/18,10,Intermediate,Open,2,INO2,48.71233
8/26/18,11,Intermediate,Open,2,INO2,48.46893
9/1/18,12,Intermediate,Open,2,INO2,49.22846
9/3/18,13,Intermediate,Open,2,INO2,47.36093
9/11/18,14,Intermediate,Open,2,INO2,43.6736
9/16/18,15,Intermediate,Open,2,INO2,45.7558
9/21/18,16,Intermediate,Open,2,INO2,45.50586
9/25/18,17,Intermediate,Open,2,INO2,43.95826
9/29/18,18,Intermediate,Open,2,INO2,41.07853
10/4/18,19,Intermediate,Open,2,INO2,44.09533
10/7/18,20,Intermediate,Open,2,INO2,36.58513
10/18/18,21,Intermediate,Open,2,INO2,33.31153
10/21/18,22,Intermediate,Open,2,INO2,35.80633
10/23/18,23,Intermediate,Open,2,INO2,28.3404
11/3/18,24,Intermediate,Open,2,INO2,21.6526
7/15/18,1,Intermediate,Open,3,INO3,36.51326
7/19/18,2,Intermediate,Open,3,INO3,41.81526
7/22/18,3,Intermediate,Open,3,INO3,41.44266
7/29/18,4,Intermediate,Open,3,INO3,38.83333
7/31/18,5,Intermediate,Open,3,INO3,42.88613
8/6/18,6,Intermediate,Open,3,INO3,41.0064
8/9/18,7,Intermediate,Open,3,INO3,41.1904
8/12/18,8,Intermediate,Open,3,INO3,44.84366
8/19/18,9,Intermediate,Open,3,INO3,45.43366
8/22/18,10,Intermediate,Open,3,INO3,41.67626
8/26/18,11,Intermediate,Open,3,INO3,40.43353
9/1/18,12,Intermediate,Open,3,INO3,42.71973
9/3/18,13,Intermediate,Open,3,INO3,41.2556
9/11/18,14,Intermediate,Open,3,INO3,38.0088
9/16/18,15,Intermediate,Open,3,INO3,39.8224
9/21/18,16,Intermediate,Open,3,INO3,40.30173
9/25/18,17,Intermediate,Open,3,INO3,40.09773
9/29/18,18,Intermediate,Open,3,INO3,37.73413
10/4/18,19,Intermediate,Open,3,INO3,40.37633
10/7/18,20,Intermediate,Open,3,INO3,32.0616
10/18/18,21,Intermediate,Open,3,INO3,31.56546
10/21/18,22,Intermediate,Open,3,INO3,32.61906
10/23/18,23,Intermediate,Open,3,INO3,25.8678
11/3/18,24,Intermediate,Open,3,INO3,19.38353
7/15/18,1,Intermediate,Partial,1,INP1,32.70246
7/19/18,2,Intermediate,Partial,1,INP1,38.63653
7/22/18,3,Intermediate,Partial,1,INP1,36.7438
7/29/18,4,Intermediate,Partial,1,INP1,34.43866
7/31/18,5,Intermediate,Partial,1,INP1,39.7606
8/6/18,6,Intermediate,Partial,1,INP1,36.60253
8/9/18,7,Intermediate,Partial,1,INP1,37.0984
8/12/18,8,Intermediate,Partial,1,INP1,40.8118
8/19/18,9,Intermediate,Partial,1,INP1,40.98113
8/22/18,10,Intermediate,Partial,1,INP1,36.99626
8/26/18,11,Intermediate,Partial,1,INP1,36.03393
9/1/18,12,Intermediate,Partial,1,INP1,38.083
9/3/18,13,Intermediate,Partial,1,INP1,36.18313
9/11/18,14,Intermediate,Partial,1,INP1,32.78606
9/16/18,15,Intermediate,Partial,1,INP1,32.5328
9/21/18,16,Intermediate,Partial,1,INP1,33.67746
9/25/18,17,Intermediate,Partial,1,INP1,33.45193
9/29/18,18,Intermediate,Partial,1,INP1,32.25566
10/4/18,19,Intermediate,Partial,1,INP1,34.5948
10/7/18,20,Intermediate,Partial,1,INP1,27.01866
10/18/18,21,Intermediate,Partial,1,INP1,26.90093
10/21/18,22,Intermediate,Partial,1,INP1,28.17413
10/23/18,23,Intermediate,Partial,1,INP1,19.65986
11/3/18,24,Intermediate,Partial,1,INP1,14.49506
7/15/18,1,Intermediate,Partial,2,INP2,42.98386
7/19/18,2,Intermediate,Partial,2,INP2,48.5696
7/22/18,3,Intermediate,Partial,2,INP2,45.30606
7/29/18,4,Intermediate,Partial,2,INP2,42.62833
7/31/18,5,Intermediate,Partial,2,INP2,47.35266
8/6/18,6,Intermediate,Partial,2,INP2,46.46993
8/9/18,7,Intermediate,Partial,2,INP2,46.45613
8/12/18,8,Intermediate,Partial,2,INP2,49.2264
8/19/18,9,Intermediate,Partial,2,INP2,47.99786
8/22/18,10,Intermediate,Partial,2,INP2,44.9474
8/26/18,11,Intermediate,Partial,2,INP2,45.44213
9/1/18,12,Intermediate,Partial,2,INP2,46.77933
9/3/18,13,Intermediate,Partial,2,INP2,44.65826
9/11/18,14,Intermediate,Partial,2,INP2,39.92786
9/16/18,15,Intermediate,Partial,2,INP2,42.38146
9/21/18,16,Intermediate,Partial,2,INP2,42.17426
9/25/18,17,Intermediate,Partial,2,INP2,41.39966
9/29/18,18,Intermediate,Partial,2,INP2,38.541
10/4/18,19,Intermediate,Partial,2,INP2,41.62166
